Rule 21:
If mother ?b, then parent ?b.

Formal Rule:
Head: ?a  parent  ?b
Body: ?a  mother  ?b

Real Instances from Knowledge Graph (408 found):

A nor de Ch tellerault has parent Dangereuse de l Isle Bouchard, A nor de Ch tellerault has mother Dangereuse de l Isle Bouchard The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Bertha of Holland has parent Gertrude of Saxony, Bertha of Holland has mother Gertrude of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Robert III of Scotland has parent Elizabeth Mure, Robert III of Scotland has mother Elizabeth Mure The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Elisabeth of Austria Queen of France, Elisabeth of Austria Queen of France has mother Maria of Austria Holy Roman Empress The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Humbert II Count of Savoy has parent Joan of Geneva, Humbert II Count of Savoy has mother Joan of Geneva The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Christine of Hesse has parent Christine of Saxony, Christine of Hesse has mother Christine of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ramon Berenguer III Count of Barcelona, Ramon Berenguer III Count of Barcelona has mother Maud of Apulia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Maria Luisa of Spain has parent Maria Amalia of Saxony, Maria Luisa of Spain has mother Maria Amalia of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has mother Maria Amalia of Saxony The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Edward III of England has parent Isabella of France, Edward III of England has mother Isabella of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Frederick II Count of Vaud mont has parent Marie Countess of Harcourt, Frederick II Count of Vaud mont has mother Marie Countess of Harcourt The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles the Bald has parent Judith of Bavaria died 843, Charles the Bald has mother Judith of Bavaria died 843 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Theobald I Count of Blois has parent Richende De Bourges, Theobald I Count of Blois has mother Richende De Bourges The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752 has parent Fran oise Marie de Bourbon, Louis Duke of Orl ans 1703 1752 has mother Fran oise Marie de Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charlotte Agla  d Orl ans, Charlotte Agla  d Orl ans has mother Fran oise Marie de Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Charlotte of Bourbon Queen of Cyprus has parent Catherine of Vend me, Charlotte of Bourbon Queen of Cyprus has mother Catherine of Vend me The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Barbara Jagiellon has parent Elizabeth of Austria 1436 1505, Barbara Jagiellon has mother Elizabeth of Austria 1436 1505 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Mary de Bohun has parent Joan Fitzalan Countess of Hereford, Mary de Bohun has mother Joan Fitzalan Countess of Hereford The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Adelaide of Auxerre born c. 870 has parent Waldrada of Worms, Adelaide of Auxerre born c. 870 has mother Waldrada of Worms The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Rudolph I of Burgundy has parent Waldrada of Worms, Rudolph I of Burgundy has mother Waldrada of Worms The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Alfred the Great has parent Osburh, Alfred the Great has mother Osburh The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Hugh of Italy has parent Bertha daughter of Lothair II, Hugh of Italy has mother Bertha daughter of Lothair II The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Hugh IV Duke of Burgundy has parent Alice of Vergy, Hugh IV Duke of Burgundy has mother Alice of Vergy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Philip of France 1116 1131 has parent Adelaide of Maurienne, Philip of France 1116 1131 has mother Adelaide of Maurienne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Robert I Count of Dreux, Robert I Count of Dreux has mother Adelaide of Maurienne The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Denis of Portugal has parent Beatrice of Castile 1242 1303, Denis of Portugal has mother Beatrice of Castile 1242 1303 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis IV of France has parent Eadgifu of Wessex, Louis IV of France has mother Eadgifu of Wessex The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie Th r se of France has parent Marie Antoinette, Marie Th r se of France has mother Marie Antoinette The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis XVII, Louis XVII has mother Marie Antoinette The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Edward II of England has parent Eleanor of Castile, Edward II of England has mother Eleanor of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has mother Auguste of Bade Baden The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Henry VI Count of Luxembourg has parent Margaret of Bar, Henry VI Count of Luxembourg has mother Margaret of Bar The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Eleanor of Lancaster has parent Maud Chaworth, Eleanor of Lancaster has mother Maud Chaworth The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Gerberga of Saxony has parent Matilda of Ringelheim, Gerberga of Saxony has mother Matilda of Ringelheim The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles Emmanuel III of Sardinia has parent Anne Marie d Orl ans, Charles Emmanuel III of Sardinia has mother Anne Marie d Orl ans The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Marie Ad la de of Savoy has parent Anne Marie d Orl ans, Marie Ad la de of Savoy has mother Anne Marie d Orl ans The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has mother Anna Eleonore of Hesse Darmstadt The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Margaret of Provence has parent Beatrice of Savoy, Margaret of Provence has mother Beatrice of Savoy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Eleanor of Provence has parent Beatrice of Savoy, Eleanor of Provence has mother Beatrice of Savoy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of Savoy Countess of Saint Pol has parent Anne of Cyprus, Margaret of Savoy Countess of Saint Pol has mother Anne of Cyprus The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charlotte of Savoy has parent Anne of Cyprus, Charlotte of Savoy has mother Anne of Cyprus The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Philip II Duke of Savoy has parent Anne of Cyprus, Philip II Duke of Savoy has mother Anne of Cyprus The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Anne of Cyprus has parent Charlotte of Bourbon Queen of Cyprus, Anne of Cyprus has mother Charlotte of Bourbon Queen of Cyprus The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry III Duke of Brabant has parent Maria of Swabia, Henry III Duke of Brabant has mother Maria of Swabia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Matilda of Brabant Countess of Artois has parent Maria of Swabia, Matilda of Brabant Countess of Artois has mother Maria of Swabia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has parent  lisabeth Charlotte d Orl ans, Francis I Holy Roman Emperor has mother  lisabeth Charlotte d Orl ans The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis I Duke of Bourbon has parent Beatrice of Burgundy Lady of Bourbon, Louis I Duke of Bourbon has mother Beatrice of Burgundy Lady of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Princess Caroline Louise of Saxe Weimar Eisenach, Princess Caroline Louise of Saxe Weimar Eisenach has mother Princess Louise of Hesse Darmstadt 1757 1830 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Ingegerd Olofsdotter of Sweden has parent Estrid of the Obotrites, Ingegerd Olofsdotter of Sweden has mother Estrid of the Obotrites The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
George III has parent Princess Augusta of Saxe Gotha, George III has mother Princess Augusta of Saxe Gotha The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Afonso V of Portugal has parent Eleanor of Aragon Queen of Portugal, Afonso V of Portugal has mother Eleanor of Aragon Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ferdinand Duke of Viseu has parent Eleanor of Aragon Queen of Portugal, Ferdinand Duke of Viseu has mother Eleanor of Aragon Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Piero the Unfortunate, Piero the Unfortunate has mother Clarice Orsini The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Marie Louise Duchess of Parma has parent Maria Theresa of Naples and Sicily, Marie Louise Duchess of Parma has mother Maria Theresa of Naples and Sicily The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria of Aragon Queen of Portugal has parent Isabella I of Castile, Maria of Aragon Queen of Portugal has mother Isabella I of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Elisabeth of France 1602 1644 has parent Marie de Medici, Elisabeth of France 1602 1644 has mother Marie de Medici The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henrietta Maria has parent Marie de Medici, Henrietta Maria has mother Marie de Medici The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John I of Castile has parent Juana Manuel, John I of Castile has mother Juana Manuel The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Alfonso IX of Le n has parent Urraca of Portugal, Alfonso IX of Le n has mother Urraca of Portugal The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Albert Azzo II Margrave of Milan, Albert Azzo II Margrave of Milan has mother Adela of Milan The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Peter I Duke of Bourbon has parent Mary of Avesnes, Peter I Duke of Bourbon has mother Mary of Avesnes The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
James I Count of La Marche has parent Mary of Avesnes, James I Count of La Marche has mother Mary of Avesnes The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ferdinand IV of Castile has parent Mar a de Molina, Ferdinand IV of Castile has mother Mar a de Molina The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis XVI, Louis XVI has mother Maria Josepha of Saxony Dauphine of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Charles X has parent Maria Josepha of Saxony Dauphine of France, Charles X has mother Maria Josepha of Saxony Dauphine of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis XVIII has parent Maria Josepha of Saxony Dauphine of France, Louis XVIII has mother Maria Josepha of Saxony Dauphine of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has mother Maria Luisa of Spain The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Francis II Duke of Lorraine, Francis II Duke of Lorraine has mother Claude of France 1547 1575 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Matthew Stewart 2nd Earl of Lennox, Matthew Stewart 2nd Earl of Lennox has mother Margaret Boswell The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy has parent Margaret of Valois Duchess of Berry, Charles Emmanuel I Duke of Savoy has mother Margaret of Valois Duchess of Berry The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Claude of France, Claude of France has mother Anne of Brittany The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Alys of France Countess of Vexin has parent Constance of Castile, Alys of France Countess of Vexin has mother Constance of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Hugh Magnus, Hugh Magnus has mother Constance of Arles The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Robert I Duke of Burgundy has parent Constance of Arles, Robert I Duke of Burgundy has mother Constance of Arles The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Sophia Eleonore of Saxony has parent Magdalene Sibylle of Prussia, Sophia Eleonore of Saxony has mother Magdalene Sibylle of Prussia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has mother Maria Carolina of Austria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Maria Amalia of Naples and Sicily has parent Maria Carolina of Austria, Maria Amalia of Naples and Sicily has mother Maria Carolina of Austria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Philippe I Duke of Orl ans has parent Anne of Austria, Philippe I Duke of Orl ans has mother Anne of Austria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Princess Magdalena Augusta of Anhalt Zerbst, Princess Magdalena Augusta of Anhalt Zerbst has mother Sophia of Saxe Weissenfels Princess of Anhalt Zerbst The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Anne of Foix Candale has parent Catherine of Foix Countess of Candale, Anne of Foix Candale has mother Catherine of Foix Countess of Candale The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Anna of Holstei Gottorp has parent Christine of Hesse, Anna of Holstei Gottorp has mother Christine of Hesse The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Frederick II Duke of Lorraine has parent Wierzchoslawa Ludmilla of Greater Poland, Frederick II Duke of Lorraine has mother Wierzchoslawa Ludmilla of Greater Poland The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Theresa of Savoy, Maria Theresa of Savoy has mother Maria Antonia Ferdinanda of Spain The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Adelaide of Maurienne has parent Gisela of Burgundy Marchioness of Montferrat, Adelaide of Maurienne has mother Gisela of Burgundy Marchioness of Montferrat The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
